,index,DayPrecip,DayAirTmpMin,DayAirTmpMax,DayEto,DayAirTmpAvg,DaySolRadAvg,DayWindSpdAvg,Eto_values,Kc_values,Etc_values,Etc_cum,Soil_Water_Deficit,Soil_Water_Deficit_cum
104,2018-04-16,0.23,37.5,57.9,0.06,45.7,278.0,1.3,0.06,0.5075962312561172,0.03045577387536703,4.066991278038424,0.199544226124633,8.253008721961578
105,2018-04-17,0.0,33.8,63.2,0.14,48.7,532.0,1.7,0.13,0.48506305807056205,0.06305819754917306,4.130049475587597,-0.06305819754917306,8.189950524412405
106,2018-04-18,0.0,38.8,61.6,0.09,49.7,365.0,1.5,0.09,0.46252988488500696,0.04162768963965063,4.171677165227248,-0.04162768963965063,8.148322834772754
107,2018-04-19,0.0,34.5,68.8,0.16,51.7,548.0,2.7,0.14,0.4399967116994518,0.06159953963792326,4.233276704865171,-0.06159953963792326,8.086723295134831
108,2018-04-20,0.0,40.4,75.3,0.17,55.9,541.0,2.8,0.15,0.41746353851389667,0.0626195307770845,4.295896235642255,-0.0626195307770845,8.024103764357747
109,2018-04-21,0.0,42.5,79.6,0.17,58.7,532.0,2.0,0.15,0.3949303653283416,0.059239554799251234,4.355135790441506,-0.059239554799251234,7.964864209558496
110,2018-04-22,0.0,40.8,81.1,0.17,60.8,525.0,2.0,0.16,0.37239719214278644,0.05958355074284583,4.414719341184352,-0.05958355074284583,7.90528065881565
111,2018-04-23,0.0,48.3,80.5,0.18,61.6,539.0,2.7,0.17,0.3498640189572313,0.05947688322272932,4.474196224407081,-0.05947688322272932,7.845803775592921
112,2018-04-24,0.0,46.9,70.8,0.13,56.2,434.0,3.9,0.11,0.3529920383241105,0.038829124215652155,4.513025348622733,-0.038829124215652155,7.806974651377269
113,2018-04-25,0.0,41.9,70.1,0.15,54.3,502.0,3.9,0.13,0.35612005769098976,0.04629560749982867,4.559320956122562,-0.04629560749982867,7.76067904387744
114,2018-04-26,0.0,46.0,64.9,0.14,53.7,486.0,4.5,0.12,0.359248077057869,0.04310976924694428,4.602430725369507,-0.04310976924694428,7.717569274630495
115,2018-04-27,0.0,46.2,66.6,0.1,56.0,364.0,3.3,0.1,0.3623760964247482,0.03623760964247482,4.638668335011982,-0.03623760964247482,7.68133166498802
116,2018-04-28,0.0,44.8,63.5,0.08,54.2,301.0,2.3,0.08,0.3655041157916274,0.029240329263330193,4.667908664275312,-0.029240329263330193,7.65209133572469
117,2018-04-29,0.0,40.5,67.2,0.13,54.8,472.0,2.4,0.12,0.3686321351585066,0.04423585621902079,4.712144520494332,-0.04423585621902079,7.60785547950567
118,2018-04-30,0.0,39.5,67.0,0.14,53.2,475.0,1.9,0.13,0.37176015452538586,0.04832882008830016,4.7604733405826325,-0.04832882008830016,7.55952665941737
119,2018-05-01,0.0,39.8,71.0,0.16,54.5,538.0,2.5,0.15,0.3748881738922651,0.05623322608383976,4.816706566666472,-0.05623322608383976,7.50329343333353
120,2018-05-02,0.0,49.3,67.5,0.16,57.3,553.0,3.8,0.14,0.36801644701394354,0.051522302581952104,4.868228869248424,-0.051522302581952104,7.451771130751578
121,2018-05-03,0.0,49.1,68.3,0.11,55.1,422.0,2.1,0.11,0.36114472013562204,0.03972591921491842,4.907954788463342,-0.03972591921491842,7.41204521153666
122,2018-05-04,0.0,43.5,80.1,0.15,57.4,492.0,2.0,0.14,0.35427299325730055,0.04959821905602208,4.957553007519364,-0.04959821905602208,7.362446992480638
123,2018-05-05,0.0,43.7,71.3,0.11,56.1,417.0,2.6,0.12,0.347401266378979,0.041688151965477475,4.999241159484841,-0.041688151965477475,7.320758840515161
124,2018-05-06,0.0,46.8,67.7,0.14,56.8,489.0,3.3,0.13,0.34052953950065745,0.04426884013508547,5.043509999619927,-0.04426884013508547,7.276490000380075
